Месяц,Импорт: (Россия)
2004-01,99
2004-02,100
2004-03,79
2004-04,82
2004-05,99
2004-06,89
2004-07,99
2004-08,74
2004-09,94
2004-10,90
2004-11,58
2004-12,80
2005-01,79
2005-02,96
2005-03,99
2005-04,83
2005-05,81
2005-06,95
2005-07,87
2005-08,77
2005-09,73
2005-10,83
2005-11,78
2005-12,78
2006-01,57
2006-02,77
2006-03,81
2006-04,83
2006-05,73
2006-06,69
2006-07,71
2006-08,74
2006-09,66
2006-10,70
2006-11,63
2006-12,57
2007-01,66
2007-02,63
2007-03,77
2007-04,59
2007-05,67
2007-06,57
2007-07,62
2007-08,58
2007-09,54
2007-10,58
2007-11,61
2007-12,50
2008-01,47
2008-02,55
2008-03,51
2008-04,53
2008-05,52
2008-06,48
2008-07,48
2008-08,49
2008-09,48
2008-10,48
2008-11,48
2008-12,47
2009-01,44
2009-02,50
2009-03,47
2009-04,49
2009-05,42
2009-06,43
2009-07,40
2009-08,38
2009-09,42
2009-10,46
2009-11,42
2009-12,39
2010-01,37
2010-02,42
2010-03,50
2010-04,42
2010-05,42
2010-06,41
2010-07,43
2010-08,42
2010-09,37
2010-10,36
2010-11,39
2010-12,38
2011-01,28
2011-02,30
2011-03,32
2011-04,31
2011-05,33
2011-06,31
2011-07,28
2011-08,28
2011-09,26
2011-10,27
2011-11,25
2011-12,25
2012-01,23
2012-02,25
2012-03,26
2012-04,27
2012-05,25
2012-06,23
2012-07,24
2012-08,23
2012-09,23
2012-10,22
2012-11,21
2012-12,20
2013-01,20
2013-02,20
2013-03,22
2013-04,22
2013-05,21
2013-06,20
2013-07,20
2013-08,21
2013-09,20
2013-10,22
2013-11,20
2013-12,19
2014-01,19
2014-02,18
2014-03,20
2014-04,21
2014-05,20
2014-06,18
2014-07,19
2014-08,21
2014-09,18
2014-10,19
2014-11,17
2014-12,17
2015-01,14
2015-02,17
2015-03,16
2015-04,18
2015-05,16
2015-06,17
2015-07,14
2015-08,15
2015-09,15
2015-10,14
2015-11,14
2015-12,15
2016-01,12
2016-02,15
2016-03,16
2016-04,15
2016-05,16
2016-06,15
2016-07,13
2016-08,13
2016-09,15
2016-10,15
2016-11,18
2016-12,21
2017-01,19
2017-02,23
2017-03,26
2017-04,27
2017-05,24
2017-06,19
2017-07,18
2017-08,17
2017-09,20
2017-10,22
2017-11,24
2017-12,23
2018-01,21
2018-02,22
2018-03,24
2018-04,23
2018-05,22
2018-06,19
2018-07,18
2018-08,18
2018-09,18
2018-10,21
2018-11,22
2018-12,20
2019-01,17
2019-02,19
2019-03,22
2019-04,24
2019-05,21
2019-06,21
2019-07,21
2019-08,21
2019-09,23
2019-10,24
2019-11,22
2019-12,23
2020-01,22
2020-02,24
2020-03,24
2020-04,24
2020-05,25
2020-06,23
2020-07,19
2020-08,19
2020-09,21
2020-10,19
2020-11,18
2020-12,20
2021-01,17
2021-02,19
2021-03,21
2021-04,21
2021-05,20
2021-06,18
2021-07,17
2021-08,18
2021-09,19
2021-10,20
2021-11,21
2021-12,21
2022-01,27
2022-02,32
2022-03,53
2022-04,49
2022-05,40
2022-06,40
2022-07,36
2022-08,33
2022-09,32
2022-10,31
2022-11,34
2022-12,32
2023-01,29
2023-02,32
2023-03,35
2023-04,33
2023-05,34
2023-06,30
2023-07,29
2023-08,29
2023-09,31
2023-10,35
2023-11,33
2023-12,31
2024-01,29
2024-02,35
2024-03,34
2024-04,35
2024-05,34
2024-06,30
2024-07,29
2024-08,28
