Месяц,Инфляция: (Россия)
2004-01,78
2004-02,72
2004-03,0
2004-04,81
2004-05,84
2004-06,82
2004-07,0
2004-08,0
2004-09,0
2004-10,37
2004-11,70
2004-12,41
2005-01,64
2005-02,57
2005-03,80
2005-04,90
2005-05,98
2005-06,54
2005-07,50
2005-08,56
2005-09,49
2005-10,70
2005-11,73
2005-12,99
2006-01,53
2006-02,72
2006-03,67
2006-04,92
2006-05,93
2006-06,62
2006-07,29
2006-08,46
2006-09,45
2006-10,55
2006-11,70
2006-12,65
2007-01,59
2007-02,51
2007-03,64
2007-04,74
2007-05,84
2007-06,57
2007-07,46
2007-08,31
2007-09,63
2007-10,73
2007-11,84
2007-12,100
2008-01,81
2008-02,80
2008-03,84
2008-04,94
2008-05,96
2008-06,77
2008-07,47
2008-08,38
2008-09,64
2008-10,80
2008-11,79
2008-12,81
2009-01,68
2009-02,57
2009-03,59
2009-04,71
2009-05,80
2009-06,56
2009-07,27
2009-08,29
2009-09,34
2009-10,46
2009-11,54
2009-12,56
2010-01,51
2010-02,43
2010-03,51
2010-04,67
2010-05,62
2010-06,56
2010-07,25
2010-08,23
2010-09,40
2010-10,43
2010-11,51
2010-12,56
2011-01,44
2011-02,39
2011-03,45
2011-04,50
2011-05,56
2011-06,46
2011-07,23
2011-08,22
2011-09,30
2011-10,37
2011-11,45
2011-12,51
2012-01,40
2012-02,36
2012-03,40
2012-04,44
2012-05,47
2012-06,39
2012-07,17
2012-08,15
2012-09,25
2012-10,32
2012-11,37
2012-12,45
2013-01,34
2013-02,30
2013-03,33
2013-04,41
2013-05,42
2013-06,40
2013-07,15
2013-08,14
2013-09,24
2013-10,32
2013-11,34
2013-12,39
2014-01,32
2014-02,32
2014-03,30
2014-04,33
2014-05,36
2014-06,30
2014-07,14
2014-08,13
2014-09,24
2014-10,34
2014-11,38
2014-12,70
2015-01,33
2015-02,27
2015-03,29
2015-04,33
2015-05,30
2015-06,30
2015-07,14
2015-08,15
2015-09,23
2015-10,29
2015-11,28
2015-12,39
2016-01,27
2016-02,24
2016-03,27
2016-04,35
2016-05,32
2016-06,26
2016-07,11
2016-08,11
2016-09,20
2016-10,25
2016-11,29
2016-12,32
2017-01,24
2017-02,24
2017-03,29
2017-04,28
2017-05,33
2017-06,27
2017-07,13
2017-08,11
2017-09,19
2017-10,26
2017-11,30
2017-12,34
2018-01,26
2018-02,26
2018-03,25
2018-04,30
2018-05,32
2018-06,27
2018-07,13
2018-08,14
2018-09,23
2018-10,24
2018-11,30
2018-12,34
2019-01,28
2019-02,26
2019-03,26
2019-04,28
2019-05,34
2019-06,27
2019-07,16
2019-08,15
2019-09,22
2019-10,25
2019-11,29
2019-12,34
2020-01,27
2020-02,26
2020-03,31
2020-04,36
2020-05,32
2020-06,24
2020-07,22
2020-08,17
2020-09,24
2020-10,29
2020-11,31
2020-12,38
2021-01,30
2021-02,29
2021-03,33
2021-04,36
2021-05,37
2021-06,33
2021-07,22
2021-08,22
2021-09,30
2021-10,37
2021-11,40
2021-12,52
2022-01,50
2022-02,57
2022-03,98
2022-04,63
2022-05,53
2022-06,46
2022-07,28
2022-08,26
2022-09,33
2022-10,42
2022-11,47
2022-12,52
2023-01,43
2023-02,42
2023-03,41
2023-04,45
2023-05,48
2023-06,34
2023-07,27
2023-08,31
2023-09,38
2023-10,42
2023-11,52
2023-12,55
2024-01,41
2024-02,45
2024-03,42
2024-04,49
2024-05,47
2024-06,37
2024-07,37
2024-08,35
