Месяц,курс юаня: (Россия)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,3
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,3
2008-11,4
2008-12,3
2009-01,4
2009-02,4
2009-03,3
2009-04,2
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,2
2009-10,3
2009-11,3
2009-12,3
2010-01,2
2010-02,4
2010-03,4
2010-04,3
2010-05,4
2010-06,5
2010-07,3
2010-08,4
2010-09,5
2010-10,4
2010-11,4
2010-12,3
2011-01,4
2011-02,3
2011-03,6
2011-04,5
2011-05,5
2011-06,5
2011-07,7
2011-08,8
2011-09,8
2011-10,9
2011-11,7
2011-12,5
2012-01,6
2012-02,6
2012-03,7
2012-04,5
2012-05,6
2012-06,7
2012-07,6
2012-08,7
2012-09,6
2012-10,6
2012-11,6
2012-12,5
2013-01,5
2013-02,6
2013-03,6
2013-04,5
2013-05,4
2013-06,5
2013-07,6
2013-08,6
2013-09,6
2013-10,6
2013-11,6
2013-12,5
2014-01,5
2014-02,6
2014-03,8
2014-04,6
2014-05,6
2014-06,5
2014-07,7
2014-08,7
2014-09,8
2014-10,11
2014-11,20
2014-12,40
2015-01,23
2015-02,18
2015-03,15
2015-04,20
2015-05,15
2015-06,15
2015-07,13
2015-08,25
2015-09,15
2015-10,12
2015-11,10
2015-12,12
2016-01,16
2016-02,11
2016-03,12
2016-04,10
2016-05,9
2016-06,10
2016-07,10
2016-08,9
2016-09,7
2016-10,7
2016-11,7
2016-12,9
2017-01,9
2017-02,9
2017-03,9
2017-04,9
2017-05,9
2017-06,10
2017-07,10
2017-08,10
2017-09,9
2017-10,7
2017-11,8
2017-12,7
2018-01,8
2018-02,7
2018-03,8
2018-04,14
2018-05,9
2018-06,8
2018-07,10
2018-08,14
2018-09,11
2018-10,9
2018-11,9
2018-12,7
2019-01,8
2019-02,6
2019-03,7
2019-04,7
2019-05,8
2019-06,8
2019-07,9
2019-08,12
2019-09,10
2019-10,9
2019-11,7
2019-12,8
2020-01,9
2020-02,10
2020-03,19
2020-04,11
2020-05,8
2020-06,8
2020-07,7
2020-08,8
2020-09,9
2020-10,9
2020-11,9
2020-12,8
2021-01,7
2021-02,6
2021-03,7
2021-04,7
2021-05,6
2021-06,6
2021-07,5
2021-08,5
2021-09,5
2021-10,5
2021-11,6
2021-12,5
2022-01,8
2022-02,18
2022-03,100
2022-04,46
2022-05,42
2022-06,30
2022-07,32
2022-08,25
2022-09,22
2022-10,21
2022-11,17
2022-12,28
2023-01,26
2023-02,31
2023-03,34
2023-04,45
2023-05,40
2023-06,40
2023-07,51
2023-08,69
2023-09,49
2023-10,58
2023-11,49
2023-12,36
2024-01,35
2024-02,31
2024-03,35
2024-04,30
2024-05,27
2024-06,42
2024-07,33
2024-08,38
